0.55 - j1.71,-0.55 + j1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.55 + j1.74,4.12 - j12.39,-2.49 + j7.85,-0.55 + j1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.52 + j1.17
,-2.49 + j7.85,3.04 - j9.54,-0.55 + j1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-0.55 + j1.74,-0.55 + j1.74,7.75 - j35.87,,-6.64 + j20.92,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1.02 - j2.67,,,,,-0.50 + j1.57,,,,,,,,,,,,,,,,,,,,,,,-0.52 + j1.17
,,,-6.64 + j20.92,,8.65 - j39.26,-0.83 + j2.62,,-0.55 + j1.74,,,,,,,,,,,-0.62 + j1.96,,,,,,,,,,,,,
,,,,,-0.83 + j2.62,4.82 - j29.94,-3.99 + j12.55,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,-3.99 + j12.55,6.85 - j21.34,,,,,,-1.17 + j3.69,,,,-0.36 + j1.12,-0.38 + j1.21,-0.95 + j2.99,,,,,,,,,,,,,
,,,,,-0.55 + j1.74,,,2.21 - j6.92,,,,,,,,,,,-1.66 + j5.23,,,,,,,,,,,,,
,,,,-0.50 + j1.57,,,,,2.16 - j6.70,-1.00 + j3.14,-0.66 + j2.09,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-1.00 + j3.14,5.98 - j18.78,,-4.98 + j15.69,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.66 + j2.09,,2.09 - j6.53,,-1.42 + j4.48,,,,,,,,,,,0.00 + j0.00,,,,,,,,
,,,,,,,,,,-4.98 + j15.69,,5.89 - j18.49,-0.91 + j2.85,,,,,,,,,,,,,,,,,,,
,,,,,,,-1.17 + j3.69,,,,-1.42 + j4.48,-0.91 + j2.85,5.31 - j18.28,-1.81 + j5.71,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-1.81 + j5.71,4.25 - j13.16,-1.81 + j5.71,-0.62 + j1.96,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,-1.81 + j5.71,1.81 - j12.05,,,,,,,,,,,,0.00 + j0.00,,,,,
,,,,,,,,,,,,,,-0.62 + j1.96,,1.79 - j8.86,-1.17 + j3.69,,,,,,,,,,,,,,,
,,,,,,,-0.36 + j1.12,,,,,,,,,-1.17 + j3.69,1.53 - j4.74,,,,,,,,,0.00 + j0.00,,,,,,
,,,,,,,-0.38 + j1.21,,,,,,,,,,,0.38 - j1.19,,,,,,,,,,0.00 + j0.00,,,,
,,,,,-0.62 + j1.96,,-0.95 + j2.99,-1.66 + j5.23,,,,,,,,,,,4.34 - j58.64,-1.11 + j3.49,,,,,,,,,0.00 + j0.00,,,
,,,,,,,,,,,,,,,,,,,-1.11 + j3.49,2.53 - j7.88,-0.80 + j2.51,,,,,,,,,,-0.63 + j1.99,
,,,,,,,,,,,,,,,,,,,,-0.80 + j2.51,1.70 - j5.24,-0.91 + j2.85,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,-0.91 + j2.85,3.88 - j18.68,-2.97 + j9.37,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-2.97 + j9.37,2.97 - j9.31,,,,,,,,,
,,,,,,,,,,,0.00 + j0.00,,,,,,,,,,,,,1.28 - j8.03,-1.28 + j8.11,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-1.28 + j8.11,2.55 - j15.90,,,,,-1.26 + j7.96,,
,,,,,,,,,,,,,,,,,0.00 + j0.00,,,,,,,,,0.50 - j0.86,-0.23 + j0.40,-0.28 + j0.48,,,,
,,,,,,,,,,,,,,,0.00 + j0.00,,,,,,,,,,,-0.23 + j0.40,0.23 - j0.39,,,,,
,,,,,,,,,,,,,,,,,,0.00 + j0.00,,,,,,,,-0.28 + j0.48,,0.28 - j0.47,,,,
,,,,,,,,,,,,,,,,,,,0.00 + j0.00,,,,,,,,,,1.13 - j7.16,-1.13 + j7.17,,
,,,,,,,,,,,,,,,,,,,,,,,,,-1.26 + j7.96,,,,-1.13 + j7.17,2.40 - j15.03,,
,,,,,,,,,,,,,,,,,,,,-0.63 + j1.99,,,,,,,,,,,0.63 - j1.97,
,-0.52 + j1.17,,,-0.52 + j1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.03 - j2.28
